year,all_income,status,scenario,income_type
2028,98436876176.65027,predicted,Median,total
2033,114438341574.09525,predicted,Median,total
2038,128653885935.16809,predicted,Median,total
2043,137089797312.13992,predicted,Median,total
2048,144785971584.8381,predicted,Median,total
2053,154434851267.79745,predicted,Median,total
2058,167794842674.1704,predicted,Median,total
2063,178419028091.7416,predicted,Median,total
2068,187303222754.45374,predicted,Median,total
2073,197318371382.91876,predicted,Median,total
2023,80434458954.0932,predicted,5th percentile,total
2028,97113775949.06259,predicted,5th percentile,total
2033,111685264404.16629,predicted,5th percentile,total
2038,124288300622.91727,predicted,5th percentile,total
2043,130684275417.77686,predicted,5th percentile,total
2048,135943979041.46796,predicted,5th percentile,total
2053,142820071038.69653,predicted,5th percentile,total
2058,152881390920.4696,predicted,5th percentile,total
2063,159601082714.75845,predicted,5th percentile,total
2068,163819975460.10403,predicted,5th percentile,total
2073,168966662410.46973,predicted,5th percentile,total
2023,80434458954.0932,predicted,25th percentile,total
2028,97956771787.91135,predicted,25th percentile,total
2033,113139782838.61072,predicted,25th percentile,total
2038,126761559105.84158,predicted,25th percentile,total
2043,134464850513.21527,predicted,25th percentile,total
2048,141186947553.47906,predicted,25th percentile,total
2053,149685987603.16092,predicted,25th percentile,total
2058,161769385417.8522,predicted,25th percentile,total
2063,170800644761.48865,predicted,25th percentile,total
2068,177736017614.4217,predicted,25th percentile,total
2073,185813648082.84967,predicted,25th percentile,total
2023,80434458954.0932,predicted,75th percentile,total
2028,99007452239.43008,predicted,75th percentile,total
2033,115444009802.91391,predicted,75th percentile,total
2038,130429877732.81967,predicted,75th percentile,total
2043,139764139095.80084,predicted,75th percentile,total
2048,148416448518.4552,predicted,75th percentile,total
2053,159397370854.38675,predicted,75th percentile,total
2058,174121372858.64328,predicted,75th percentile,total
2063,186435747329.88834,predicted,75th percentile,total
2068,197200622754.01828,predicted,75th percentile,total
2073,209503745676.40085,predicted,75th percentile,total
2023,80434458954.0932,predicted,95th percentile,total
2028,99752415645.45084,predicted,95th percentile,total
2033,117040068031.98215,predicted,95th percentile,total
2038,132969200552.41052,predicted,95th percentile,total
2043,143546149497.84778,predicted,95th percentile,total
2048,153702265391.36823,predicted,95th percentile,total
2053,166487316086.87723,predicted,95th percentile,total
2058,183113583941.8851,predicted,95th percentile,total
2063,197859580288.92084,predicted,95th percentile,total
2068,211317499006.64706,predicted,95th percentile,total
2073,226448407015.4174,predicted,95th percentile,total
2023,80434458954.0932,predicted,No immigration,total
2028,96999941128.57953,predicted,No immigration,total
2033,110879072036.10751,predicted,No immigration,total
2038,123269290328.78885,predicted,No immigration,total
2043,129881294535.081,predicted,No immigration,total
2048,135438757636.10715,predicted,No immigration,total
2053,142102283035.38608,predicted,No immigration,total
2058,150738012265.2973,predicted,No immigration,total
2063,154709437909.69208,predicted,No immigration,total
2068,155981980963.13086,predicted,No immigration,total
2073,156893476971.1426,predicted,No immigration,total
2023,80434458954.0932,predicted,Cyclic immigration,total
2028,98436876176.65027,predicted,Cyclic immigration,total
2033,113539756021.31952,predicted,Cyclic immigration,total
2038,128512488897.99387,predicted,Cyclic immigration,total
2043,136049483845.99887,predicted,Cyclic immigration,total
2048,144283679823.4992,predicted,Cyclic immigration,total
2053,153013904014.4338,predicted,Cyclic immigration,total
2058,166817386174.64597,predicted,Cyclic immigration,total
2063,176456504800.95633,predicted,Cyclic immigration,total
2068,185480196549.17883,predicted,Cyclic immigration,total
2073,194415085683.0378,predicted,Cyclic immigration,total
2023,80434458954.0932,predicted,High immigration,total
2028,99678559414.75623,predicted,High immigration,total
2033,117220365415.1174,predicted,High immigration,total
2038,133354842665.40509,predicted,High immigration,total
2043,144203060594.70096,predicted,High immigration,total
2048,154958376248.56577,predicted,High immigration,total
2053,168446839053.45395,predicted,High immigration,total
2058,186568650078.8351,predicted,High immigration,total
2063,203103667434.89212,predicted,High immigration,total
2068,219504380333.6142,predicted,High immigration,total
2073,238214951209.8519,predicted,High immigration,total
2000,21985651251.0,observed,,total
2001,21857487202.8,observed,,total
2002,23014988809.8,observed,,total
2003,24050450488.8,observed,,total
2004,25864561717.8,observed,,total
2005,27707413460.4,observed,,total
2006,29831573427.0,observed,,total
2007,31858700368.8,observed,,total
2008,34050492456.6,observed,,total
2009,35936932488.6,observed,,total
2010,36385688881.2,observed,,total
2011,37774301241.6,observed,,total
2012,41464167674.4,observed,,total
2013,44540756769.6,observed,,total
2014,46261191269.4,observed,,total
2015,49271884642.2,observed,,total
2016,52847339284.2,observed,,total
2017,55081894269.6,observed,,total
2018,58382311348.2,observed,,total
2019,62982605466.6,observed,,total
2020,67434930906.6,observed,,total
2021,73632296880.0,observed,,total
2022,74544359279.4,observed,,total
2023,81576154743.0,observed,,total
